9.97E+05,1.56E+00,8.75E-02,1.70E-02,8.66E-01,4.77E-02,,,1558.77,87.51,0.97
9.98E+05,1.56E+00,7.00E-02,1.19E-02,8.53E-01,4.78E-02,,,1556.14,70.01,0.68
9.98E+05,1.56E+00,7.92E-02,2.35E-02,9.00E-01,4.66E-02,,,1560.87,79.17,1.35
9.98E+05,1.56E+00,8.05E-02,1.92E-02,8.96E-01,4.67E-02,,,1558.90,80.47,1.10
9.98E+05,1.56E+00,8.10E-02,2.14E-02,8.89E-01,4.68E-02,,,1558.50,80.96,1.22
9.98E+05,1.56E+00,8.02E-02,1.66E-02,8.82E-01,4.73E-02,,,1560.04,80.23,0.95
9.98E+05,1.56E+00,7.93E-02,2.32E-02,8.81E-01,4.71E-02,,,1558.32,79.33,1.33
9.98E+05,1.56E+00,7.95E-02,2.46E-02,8.82E-01,4.79E-02,,,1559.47,79.48,1.41
9.98E+05,1.56E+00,7.97E-02,2.34E-02,8.86E-01,4.74E-02,,,1557.40,79.71,1.34
9.98E+05,1.56E+00,8.12E-02,1.69E-02,8.95E-01,4.74E-02,,,1558.55,81.17,0.97
9.98E+05,1.56E+00,7.95E-02,1.98E-02,8.94E-01,4.78E-02,,,1556.85,79.48,1.13
9.98E+05,1.56E+00,7.72E-02,3.23E-02,8.78E-01,4.66E-02,,,1556.43,77.21,1.85
9.98E+05,1.56E+00,7.68E-02,2.75E-02,8.71E-01,4.73E-02,,,1555.37,76.81,1.58
9.98E+05,1.56E+00,7.80E-02,2.77E-02,8.85E-01,4.71E-02,,,1557.86,77.98,1.59
9.98E+05,1.56E+00,7.83E-02,2.65E-02,8.90E-01,4.65E-02,,,1557.24,78.26,1.52
9.98E+05,1.56E+00,7.88E-02,2.23E-02,8.83E-01,4.72E-02,,,1556.55,78.80,1.28
9.98E+05,1.56E+00,7.98E-02,1.94E-02,8.84E-01,4.72E-02,,,1555.80,79.80,1.11
9.98E+05,1.56E+00,8.15E-02,2.00E-02,8.96E-01,4.65E-02,,,1555.61,81.48,1.14
9.98E+05,1.55E+00,7.83E-02,1.36E-02,8.65E-01,4.65E-02,,,1551.46,78.34,0.78
9.98E+05,1.56E+00,7.54E-02,1.99E-02,8.76E-01,4.81E-02,,,1555.59,75.37,1.14
9.98E+05,1.56E+00,7.45E-02,2.32E-02,8.93E-01,4.73E-02,,,1558.08,74.55,1.33
9.98E+05,1.56E+00,7.69E-02,2.11E-02,8.91E-01,4.68E-02,,,1556.51,76.85,1.21
9.98E+05,1.56E+00,7.65E-02,2.21E-02,8.91E-01,4.71E-02,,,1556.86,76.47,1.27
9.98E+05,1.56E+00,7.79E-02,2.12E-02,8.82E-01,4.72E-02,,,1556.84,77.86,1.21
9.98E+05,1.56E+00,7.85E-02,1.88E-02,8.90E-01,4.66E-02,,,1557.46,78.46,1.08
9.98E+05,1.56E+00,7.79E-02,1.97E-02,8.88E-01,4.75E-02,,,1558.29,77.87,1.13
9.98E+05,1.56E+00,7.72E-02,2.23E-02,9.03E-01,4.67E-02,,,1557.03,77.16,1.28
